"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","Synthetic","KeyPoint","Withheld","Overlap","ScanAngleRank","UserData","PointSourceId","GpsTime","Red","Green","Blue"
-5598.640,-35103.447,3.730,713.000,2.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.180,20560.000,21331.000,22102.000
-5598.283,-35103.318,3.702,1611.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.180,22102.000,21845.000,22616.000
-5596.843,-35102.737,3.700,1692.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.180,23387.000,23130.000,23901.000
-5596.489,-35102.588,3.725,82.000,2.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.180,23130.000,23130.000,23387.000
-5598.053,-35103.764,3.730,628.000,2.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.187,21331.000,22102.000,22359.000
-5597.707,-35103.630,3.700,1736.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.187,20303.000,20817.000,21331.000
-5596.651,-35103.208,3.707,1579.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.187,22873.000,22873.000,23644.000
-5599.813,-35104.989,3.635,704.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.193,19532.000,20303.000,20817.000
-5598.779,-35104.572,3.660,446.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.193,18504.000,19532.000,20560.000
-5598.086,-35104.301,3.680,1496.000,2.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.193,21074.000,22102.000,23130.000
-5597.380,-35103.983,3.778,1360.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.193,21845.000,21588.000,21588.000
-5597.015,-35103.855,3.722,1662.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.193,21845.000,21588.000,21331.000
-5596.664,-35103.718,3.701,1704.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.193,22102.000,22102.000,22359.000
-5596.320,-35103.576,3.714,1148.000,2.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.193,23130.000,22873.000,23644.000
-5599.683,-35105.473,3.623,667.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.200,19275.000,20303.000,20817.000
-5599.330,-35105.340,3.622,548.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.200,19532.000,20303.000,21331.000
-5597.219,-35104.466,3.711,562.000,2.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.200,21331.000,22102.000,23387.000
-5596.874,-35104.316,3.735,859.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.200,21845.000,22102.000,22616.000
-5596.518,-35104.188,3.711,1540.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.200,21588.000,21588.000,21331.000
-5596.160,-35104.042,3.703,1238.000,2.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.200,21331.000,21331.000,21845.000
-5599.601,-35105.952,3.615,628.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.207,19532.000,20303.000,20560.000
-5599.246,-35105.805,3.630,444.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.207,19789.000,20560.000,21074.000
-5598.893,-35105.667,3.628,581.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.207,19532.000,20046.000,21074.000
-5596.442,-35104.634,3.809,415.000,2.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.207,20560.000,21331.000,21588.000
-5595.731,-35104.380,3.713,29.000,2.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.207,20817.000,20817.000,21074.000
-5599.196,-35106.290,3.618,537.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.213,20046.000,20560.000,21588.000
-5598.127,-35105.864,3.627,575.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.213,20046.000,20817.000,21588.000
-5596.734,-35105.296,3.659,552.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.213,19018.000,20046.000,21074.000
-5596.038,-35105.003,3.722,424.000,3.000,3.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.213,20560.000,21074.000,22102.000
-5595.697,-35104.820,3.818,67.000,3.000,3.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.213,22102.000,22873.000,23387.000
-5599.759,-35106.983,3.593,677.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.220,19789.000,20303.000,20817.000
-5599.414,-35106.840,3.602,580.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.220,19789.000,20046.000,20817.000
-5599.062,-35106.704,3.600,377.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.220,19532.000,19789.000,20560.000
-5598.352,-35106.400,3.632,818.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.220,20560.000,21074.000,21845.000
-5599.615,-35107.391,3.572,591.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.227,19275.000,20046.000,20303.000
-5599.250,-35107.244,3.582,474.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.227,19275.000,20046.000,20560.000
-5598.890,-35107.097,3.593,443.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.227,19018.000,19789.000,20817.000
-5597.136,-35106.385,3.644,514.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.227,19789.000,20817.000,21588.000
-5596.781,-35106.226,3.667,776.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.227,19532.000,20046.000,21588.000
